gene	Example
ANAPC1P5	1
ANAPC1P6	0
ANAPC2	40
ANAPC4	70
ANAPC5	193.279
ANAPC7	121
ANG	291.1
ANGEL1	47.122
ANGEL2	122.037
ANGPT1	0
ANGPT2	1.892
ANGPT4	0
ANGPTL1	0
ANGPTL2	0
ANGPTL3	0
ANGPTL4	107
ANGPTL5	0
ANGPTL6	0
ANGPTL7	0
ANGPTL8	0
ANHX	0
ANK1	2
ANK2	0
ANK2-AS1	0
ANK3	716.996
ANK3-DT	0
ANKAR	11
ANKDD1A	2.085
ANKDD1B	4
ANKEF1	291
ANKFN1	0
ANKFY1	257
ANKH	667.002
ANKH-DT	0
ANKHD1	654.02
ANKHD1-DT	5
ANKHD1-EIF4EBP3	443.636
ANKIB1	265
ANKK1	0
ANKLE1	1
ANKLE2	328.646
ANKMY1	22.225
ANKMY2	273.001
ANKRA2	127
ANKRD1	4
ANKRD10	195
ANKRD10-IT1	29
ANKRD11	292.499
ANKRD11P1	0
ANKRD11P2	0
ANKRD12	423.716
ANKRD13A	289
ANKRD13B	8
ANKRD13C	178
ANKRD13C-DT	34.046
ANKRD13D	30
ANKRD16	15
ANKRD17	752
ANKRD17-DT	0
ANKRD18A	1
ANKRD18B	0
ANKRD18CP	0
ANKRD18DP	0
ANKRD18EP	0
ANKRD18FP	0
ANKRD19P	1
ANKRD2	0
ANKRD20A1	1
ANKRD20A10P	0
ANKRD20A11P	0
ANKRD20A17P	0
ANKRD20A18P	0
ANKRD20A19P	0
ANKRD20A21P	0
ANKRD20A5P	4.431
ANKRD20A6P	0
ANKRD20A7P	0
ANKRD20A8P	0
ANKRD20A9P	0
ANKRD22	290
ANKRD23	0
ANKRD24	8
ANKRD26	37
ANKRD26P1	0
ANKRD26P2	0
ANKRD26P3	0
ANKRD26P4	0
ANKRD27	143.999
ANKRD28	137.999
ANKRD29	172.001
ANKRD30A	0
ANKRD30B	2.774
ANKRD30BL	0
ANKRD30BP1	0
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	0
ANKRD33	0
ANKRD33B	0
ANKRD33B-AS1	0
ANKRD33BP1	0
ANKRD33BP10	0
ANKRD33BP2	0
ANKRD33BP5	0
ANKRD33BP6	0
ANKRD33BP7	0
ANKRD33BP8	0
ANKRD33BP9	0
ANKRD34A	5
ANKRD34B	0
ANKRD34C	0
ANKRD34C-AS1	0
ANKRD35	0
ANKRD36	3.25
ANKRD36B	15.248
ANKRD36BP1	0
ANKRD36BP2	0
ANKRD36C	2.307
ANKRD36P1	0
ANKRD36P2	0
ANKRD37	223
ANKRD39	15
ANKRD39P1	0
ANKRD40	174.053
ANKRD40CL	154.17
ANKRD42	63.661
ANKRD42-DT	11.999
ANKRD44	2
ANKRD44-AS1	0
ANKRD44-DT	0
ANKRD44-IT1	1
ANKRD45	0
ANKRD46	70
ANKRD49	83
ANKRD49P1	0
ANKRD49P2	0
ANKRD49P3	0
ANKRD49P4	0
ANKRD50	73
ANKRD52	222
ANKRD53	0
ANKRD54	17
ANKRD54P1	0
ANKRD55	0
ANKRD6	4
ANKRD60	0
ANKRD61	0
ANKRD62	0
